City_ID,City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
81,otjimbingwe,-22.35,16.1333,293.11,30,6,1.8,NA,1715038484
82,haiku-pauwela,20.9219,-156.3051,299.35,77,40,10.29,US,1715038484
83,kodinar,20.7903,70.7031,299.77,86,0,5.13,IN,1715038485
84,trinidad,-14.8333,-64.9,303.14,79,75,0.0,BO,1715038485
85,choma,-16.8065,26.9531,290.56,58,0,1.72,ZM,1715038485
86,kailua-kona,19.6406,-155.9956,300.13,80,75,4.63,US,1715038485
87,badger,64.8,-147.5333,274.46,90,100,3.09,US,1715038485
88,port%20alberni,49.2413,-124.8028,287.1,74,90,4.92,CA,1715038239
89,albany,42.6001,-73.9662,292.89,61,100,0.45,US,1715038244
90,laishevo,55.4046,49.5504,275.27,84,90,1.96,RU,1715038486
91,blackmans%20bay,-43.0167,147.3167,281.22,61,7,0.3,AU,1715038486
92,olonkinbyen,70.9221,-8.7187,273.37,97,100,7.68,SJ,1715038487
93,grytviken,-54.2811,-36.5092,273.93,85,64,4.51,GS,1715038487
94,lihue,21.9789,-159.3672,300.73,68,100,6.69,US,1715038487
95,prineville,44.2999,-120.8345,286.54,51,75,7.2,US,1715038487
96,kavaratti,10.5669,72.642,303.32,69,82,3.85,IN,1715038488
97,chonchi,-42.6128,-73.8092,278.22,98,100,2.64,CL,1715038488
98,amasra,41.7463,32.3863,281.82,75,0,2.39,TR,1715038488
99,roma,43.2128,-75.4557,290.23,39,0,5.14,US,1715038488
100,qarqaraly,49.4058,75.4742,280.46,61,100,3.01,KZ,1715038489
101,wanning,18.8003,110.3967,300.33,82,97,1.05,CN,1715038489
102,flying%20fish%20cove,-10.4217,105.6791,297.97,94,75,5.14,CX,1715038489
103,jiexiu,37.0244,111.9125,292.99,33,0,0.62,CN,1715038489
104,sengkang,-4.1279,120.0297,299.39,92,78,1.39,ID,1715038490
105,kudymkar,59.0173,54.656,271.21,94,97,4.36,RU,1715038490
106,tizi-n-tleta,36.5457,4.0571,289.18,60,100,2.25,DZ,1715038490
107,mandera,3.9366,41.867,300.42,74,97,3.37,KE,1715038490
108,chibougamau,49.9168,-74.3659,282.94,57,20,5.66,CA,1715038491
109,zyryanskoye,56.8306,86.6258,276.36,72,3,1.76,RU,1715038491
110,buka,40.8108,69.1986,293.29,41,52,1.25,UZ,1715038491
111,novodvinsk,64.4165,40.8122,270.81,73,97,0.52,RU,1715038491
112,invercargill,-46.4,168.35,282.05,94,99,2.24,NZ,1715038492
113,susuman,62.7833,148.1667,273.7,76,33,1.34,RU,1715038492
114,uturoa,-16.7333,-151.4333,300.89,80,51,9.66,PF,1715038492
115,anadyr,64.75,177.4833,270.43,86,0,2.0,RU,1715038492
116,okhotsk,59.3833,143.3,275.74,85,72,2.45,RU,1715038493
117,raja,8.4596,25.678,304.07,33,98,1.25,SS,1715038493
118,fort%20bragg,35.139,-79.006,298.23,84,100,2.57,US,1715038493
119,akureyri,65.6835,-18.0878,278.11,65,40,3.6,IS,1715038493
120,longyearbyen,78.2186,15.6401,270.06,74,75,1.03,SJ,1715038494
121,port%20mathurin,-19.6833,63.4167,298.95,74,47,11.28,MU,1715038494
122,udachny,66.4167,112.4,272.84,98,96,9.67,RU,1715038494
123,teruel,40.6667,-0.6667,278.66,83,47,1.76,ES,1715038494
124,kyshtovka,56.555,76.6271,277.78,55,77,2.24,RU,1715038494
125,walvis%20bay,-22.9575,14.5053,287.64,100,0,5.14,NA,1715038495
126,pacasmayo,-7.4006,-79.5714,293.22,81,23,6.33,PE,1715038495
127,pirallahi,40.4723,50.333,286.23,84,100,14.35,AZ,1715038495
128,ostersund,63.1792,14.6357,276.4,70,5,3.6,SE,1715038495
129,cody,44.5263,-109.0565,284.05,47,75,6.69,US,1715038496
130,ofunato,39.0717,141.7167,288.16,96,100,2.43,JP,1715038496
131,ust-nera,64.5667,143.2,276.74,79,38,2.69,RU,1715038496
132,nizao,18.25,-70.2,298.41,83,1,3.25,DO,1715038496
133,suva,-18.1416,178.4415,299.86,94,75,2.06,FJ,1715038497
134,saint-pierre,-21.3393,55.4781,296.97,73,0,6.69,RE,1715038497
135,vorgashor,67.5833,63.95,254.71,100,83,3.26,RU,1715038497
136,saudarkrokur,65.7461,-19.6394,278.14,67,76,4.15,IS,1715038497
137,trujillo,-8.116,-79.03,291.13,94,100,5.14,PE,1715038498
138,tiksi,71.6872,128.8694,271.48,89,72,2.62,RU,1715038498
139,malakal,9.5334,31.6605,306.15,27,14,1.72,SS,1715038498
140,moramanga,-18.9333,48.2,286.51,99,59,1.35,MG,1715038498
141,lulea,65.5842,22.1547,272.19,69,100,3.09,SE,1715038499
142,kirensk,57.7853,108.1119,282.57,71,80,4.47,RU,1715038499
143,malpe,13.35,74.7167,301.76,71,93,0.88,IN,1715038499
144,kuta,-8.7233,115.1723,298.15,100,40,1.03,ID,1715038499
145,myeik,12.4333,98.6,300.71,86,14,1.06,MM,1715038500
146,jamestown,42.097,-79.2353,289.95,36,0,4.12,US,1715038374
147,baiti,13.745,-14.7482,303.91,24,7,5.12,SN,1715038500
148,sitka,57.0531,-135.33,280.73,73,91,2.73,US,1715038400
149,revelstoke,50.9832,-118.2023,288.16,38,40,1.03,CA,1715038212
150,hoemul-li,41.4339,129.67,283.92,84,100,1.71,KP,1715038501
151,vilyuchinsk,52.9306,158.4028,277.3,79,97,2.69,RU,1715038501
152,kruisfontein,-34.0033,24.7314,286.97,78,2,2.55,ZA,1715038501
153,rapar,23.5667,70.6333,300.56,66,0,4.86,IN,1715038503
154,edd,13.9297,41.6925,302.15,78,79,2.36,ER,1715038503
155,belyy%20yar,53.6039,91.3903,276.09,93,0,0.0,RU,1715038503
156,dryden,49.7833,-92.7503,294.31,28,40,5.66,CA,1715038503
157,natal,-5.795,-35.2094,300.27,89,40,2.06,BR,1715038366
158,broome,42.2506,-75.833,293.36,42,0,1.54,US,1715038504
159,utrik,11.2278,169.8474,300.47,82,90,8.68,MH,1715038504
160,holualoa,19.6228,-155.9522,298.06,80,75,4.63,US,1715038504
161,dawei,14.0833,98.2,300.08,83,26,1.34,MM,1715038505
162,sooke,48.3746,-123.7276,287.72,75,7,10.29,CA,1715038505
163,puerto%20real,36.5282,-6.1901,290.24,82,0,0.0,ES,1715038505
164,yeniseysk,58.4497,92.1703,275.34,87,28,2.24,RU,1715038505
165,shenjiamen,29.9576,122.298,291.87,85,100,1.09,CN,1715038506
166,cururupu,-1.8283,-44.8683,297.24,97,99,0.45,BR,1715038506
167,morehead%20city,34.7229,-76.726,297.15,86,0,7.2,US,1715038443
168,sao%20joao%20da%20barra,-21.6403,-41.0511,296.2,86,2,4.87,BR,1715038507
169,moose%20jaw,50.4001,-105.5344,284.29,93,100,8.23,CA,1715038507
170,villa%20huidobro,-34.8383,-64.5869,287.54,83,96,2.56,AR,1715038507
171,hami,42.8,93.45,297.7,22,0,6.14,CN,1715038507
172,hasaki,35.7333,140.8333,292.37,80,100,10.98,JP,1715038508
173,fale%20old%20settlement,-9.3852,-171.2468,303.29,71,27,5.04,TK,1715038508
174,ola,59.5833,151.2833,273.23,83,87,1.74,RU,1715038508
175,gadzhiyevo,69.2551,33.3362,270.29,64,100,7.14,RU,1715038508
176,lubang,13.8584,120.124,301.52,74,13,6.34,PH,1715038509
177,buurhakaba,2.8026,44.0781,297.87,87,98,3.93,SO,1715038509
178,dzilam%20gonzalez,21.2833,-88.9333,303.07,58,1,3.48,MX,1715038509
179,bamboo%20flat,11.7,92.7167,300.2,94,20,1.03,IN,1715038509
180,weno,7.4515,151.8468,304.12,79,100,2.57,FM,1715038510
181,eureka,40.8021,-124.1637,286.62,83,89,1.79,US,1715038510
182,richards%20bay,-28.783,32.0377,292.56,78,0,4.12,ZA,1715038510
183,plast,54.3691,60.8136,276.32,84,49,3.96,RU,1715038510
184,mweka,-4.85,21.5667,294.27,66,21,0.5,CD,1715038511
185,antsiranana,-12.2787,49.2917,297.75,78,100,7.69,MG,1715038511
